nHubs;trendline;slow;extraSlow
2;4.036226892;6.036226892;8.072453784
3;4.065434453;6.065434453;8.130868907
4;4.095472505;6.095472505;8.190945009
5;4.125559046;6.125559046;8.251118092
6;4.154987231;6.154987231;8.309974463
7;4.183122152;6.183122152;8.366244303
8;4.209397677;6.209397677;8.418795355
9;4.233313356;6.233313356;8.466626712
10;4.254431364;6.254431364;8.508862729
11;4.27237352;6.27237352;8.544747039
12;4.286818344;6.286818344;8.573636688
13;4.297498186;6.297498186;8.594996373
14;4.304196401;6.304196401;8.608392801
15;4.30674458;6.30674458;8.613489159
16;4.305019844;6.305019844;8.610039688
17;4.29894219;6.29894219;8.597884381
18;4.288471891;6.288471891;8.576943783
19;4.273606956;6.273606956;8.547213912
20;4.254380641;6.254380641;8.508761283
21;4.230859027;6.230859027;8.461718053
22;4.203138636;6.203138636;8.406277272
23;4.171344125;6.171344125;8.342688249
24;4.135626014;6.135626014;8.271252028
25;4.096158491;6.096158491;8.192316982
26;4.053137254;6.053137254;8.106274507
27;4.006777424;6.006777424;8.013554847
28;3.957311505;5.957311505;7.91462301
29;3.904987406;5.904987406;7.809974813
30;3.850066514;5.850066514;7.700133029
31;3.792821826;5.792821826;7.585643652
32;3.733536135;5.733536135;7.467072271
33;3.672500279;5.672500279;7.345000558
34;3.610011434;5.610011434;7.220022868
35;3.546371473;5.546371473;7.092742947
36;3.48188538;5.48188538;6.963770759
37;3.416859712;5.416859712;6.833719424
38;3.35160113;5.35160113;6.70320226
39;3.286414974;5.286414974;6.572829949
40;3.221603903;5.221603903;6.443207806
41;3.157466583;5.157466583;6.314933166
42;3.09429644;5.09429644;6.18859288
43;3.032380462;5.032380462;6.064760923
44;2.971998059;4.971998059;5.943996119
45;2.913419984;4.913419984;5.826839968
46;2.8569073;4.8569073;5.7138146
47;2.802710412;4.802710412;5.605420825
48;2.751068154;4.751068154;5.502136307
49;2.702206924;4.702206924;5.404413848
50;2.656339888;4.656339888;5.312679777
51;2.613666231;4.613666231;5.227332462
52;2.574370463;4.574370463;5.148740926
53;2.538621789;4.538621789;5.077243577
54;2.506573528;4.506573528;5.013147056
55;2.478362593;4.478362593;4.956725186
56;2.454109022;4.454109022;4.908218044
57;2.43391557;4.43391557;4.867831139
58;2.417867353;4.417867353;4.835734705
59;2.406031552;4.406031552;4.812063103
60;2.39845717;4.39845717;4.796914341
61;2.395174849;4.395174849;4.790349698
62;2.396196734;4.396196734;4.792393467
63;2.401516405;4.401516405;4.80303281
64;2.41110886;4.41110886;4.82221772
65;2.424930548;4.424930548;4.849861097
66;2.442919471;4.442919471;4.885838941
67;2.464995327;4.464995327;4.929990654
68;2.491059725;4.491059725;4.98211945
69;2.520996441;4.520996441;5.041992882
70;2.554671742;4.554671742;5.109343484
71;2.591934758;4.591934758;5.183869517
72;2.632617916;4.632617916;5.265235832
73;2.676537424;4.676537424;5.353074849
74;2.723493819;4.723493819;5.446987638
75;2.773272561;4.773272561;5.546545121
76;2.825644693;4.825644693;5.651289387
77;2.880367553;4.880367553;5.760735107
78;2.937185539;4.937185539;5.874371077
79;2.995830932;4.995830932;5.991661864
80;3.056024782;5.056024782;6.112049564
81;3.117477839;5.117477839;6.234955677
82;3.179891544;5.179891544;6.359783089
83;3.242959085;5.242959085;6.48591817
84;3.306366492;5.306366492;6.612732984
85;3.369793804;5.369793804;6.739587608
86;3.432916282;5.432916282;6.865832565
87;3.495405686;5.495405686;6.990811371
88;3.556931597;5.556931597;7.113863193
89;3.617162808;5.617162808;7.234325616
90;3.675768764;5.675768764;7.351537527
91;3.732421055;5.732421055;7.46484211
92;3.786794975;5.786794975;7.573589949
93;3.838571126;5.838571126;7.677142251
94;3.887437086;5.887437086;7.774874173
95;3.933089133;5.933089133;7.866178265
96;3.975234015;5.975234015;7.95046803
97;4.013590792;6.013590792;8.027181584
98;4.047892721;6.047892721;8.095785442
99;4.077889202;6.077889202;8.155778403
100;4.103347781;6.103347781;8.206695563
101;4.12405621;6.12405621;8.24811242
102;4.139824556;6.139824556;8.279649113
103;4.150487376;6.150487376;8.300974752
104;4.155905941;6.155905941;8.311811881
105;4.155970517;6.155970517;8.311941035
106;4.15060271;6.15060271;8.301205419
107;4.13975785;6.13975785;8.2795157
108;4.123427452;6.123427452;8.246854904
109;4.101641717;6.101641717;8.203283433
110;4.074472095;6.074472095;8.14894419
111;4.042033908;6.042033908;8.084067815
112;4.004489018;6.004489018;8.008978037
113;3.962048568;5.962048568;7.924097135
114;3.914975758;5.914975758;7.829951516
115;3.863588698;5.863588698;7.727177395
116;3.8082633;5.8082633;7.616526601
117;3.749436241;5.749436241;7.498872483
118;3.687607968;5.687607968;7.375215935
119;3.623345767;5.623345767;7.246691534
120;3.557286891;5.557286891;7.114573781
121;3.490141735;5.490141735;6.98028347
122;3.422697075;5.422697075;6.845394149
123;3.355819358;5.355819358;6.711638715
124;3.290458052;5.290458052;6.580916104
125;3.22764905;5.22764905;6.4552981
126;3.168518129;5.168518129;6.337036257
127;3.114284466;5.114284466;6.228568933
128;3.066264216;5.066264216;6.132528432
129;3.025874133;5.025874133;6.051748265
130;2.994635258;4.994635258;5.989270517
131;2.974176664;4.974176664;5.948353327
132;2.966239244;4.966239244;5.932478489
133;2.972679574;4.972679574;5.945359148
134;2.995473814;4.995473814;5.990947627
135;3.036721677;5.036721677;6.073443354
