"nHubs","initialTemp"
1,0.001
2,1.80492558965067
3,6.30796218243063
4,10.6801783779172
5,5.67407027732895
6,5.23973287224585
7,2.46143487987051
8,3.05875080765972
9,5.64253244370198
10,3.19292001471935
11,3.45944850390671
12,6.21002693687681
13,7.23434295128989
14,5.21082221063555
15,6.42106716467134
16,3.02317826298383
17,2.2930966994442
18,5.38967061582397
19,4.91147371317366
20,3.77507905254395
21,5.75470689109381
22,5.42956374427677
23,6.41107195708592
24,4.10748145592844
25,5.48957067009576
26,4.76324870365638
27,6.59174540125065
28,4.1016521148665
29,4.54311829846936
30,3.36224834252535
31,4.93675728297284
32,4.11064545044719
33,4.86770369374353
34,3.99690407868227
35,4.93412806655607
36,3.3720213943258
37,4.07206870845093
38,2.83806935722092
39,3.88785458747532
40,3.79680600932322
41,3.23065628042918
42,2.81292072403977
43,2.96512750863163
44,3.92609208043578
45,3.63425697716317
46,2.20087677180258
47,4.13387731853811
48,2.23353238649101
49,3.28302479504873
50,3.31804452810801
51,1.98464016430308
52,1.94134777569312
53,1.88628578102487
54,3.06932092970091
55,4.30864965425473
56,4.77926187469667
57,1.86938532673857
58,1.44764436920684
59,2.23276557100695
60,1.97722274229522
61,3.47931688783552
62,1.26519920095295
63,3.05041816362636
64,4.3645229971082
65,4.24405581254319
66,2.8762490760746
67,2.22980123027127
68,1.21670820596776
69,2.93827318571907
70,3.8082152947004
71,4.13892650794044
72,2.23400588634121
73,3.751100053597
74,1.4246172235277
75,2.88774503798239
76,1.59485969138212
77,1.32217642282464
78,1.39864980890855
79,5.49374902548791
80,3.6183212538293
81,2.2479695609976
82,1.63405744435602
83,3.11114871976133
84,1.60543784290972
85,5.444983065562
86,1.23819521209092
87,2.6656736407723
88,3.06891933228688
89,3.86114966667865
90,1.79183399330637
91,0.680197153760879
92,3.93422512914903
93,2.78677522525535
94,0.513840711120803
95,4.09214239504625
96,5.37614071590941
97,0.98319955654155
98,6.35664825280222
99,0.478968772205316
100,0.960564117258713
101,3.41593223856323
102,4.17201473880443
103,4.99134305125026
104,0.995621538221266
105,3.14724685592591
106,0.844149481527565
107,3.03965304842077
108,2.91393708890562
109,1.11156941397929
110,0.972722302203731
111,3.17291485358221
112,3.00241494977901
113,2.98647251722989
114,3.5493624008742
115,5.46343030942037
116,1.04566703685708
117,2.86908910011872
118,2.8546957072462
119,3.1004202776129
120,1.29833181048729
121,0.51132805777033
122,3.2106505619723
123,0.586380469709085
124,3.24302727410129
125,4.97665339922702
126,3.14954305846626
127,3.03513612483108
128,4.56854377755294
129,0.58869985890141
130,3.01710995264806
131,3.02992086994839
132,3.11758519855249
133,2.96942487417737
134,2.59857313249384
135,3.0727964395523
