nHubs;trendline
2;7.312448002
3;6.830349989
4;6.488296005
5;6.222978322
6;6.006197991
7;5.822912833
8;5.664144007
9;5.524099978
10;5.398826324
11;5.285502521
12;5.182045993
13;5.086875214
14;4.998760835
15;4.916728311
16;4.839992009
17;4.767909334
18;4.69994798
19;4.635662054
20;4.574674327
21;4.516662822
22;4.461350523
23;4.408497377
24;4.357893996
25;4.309356644
26;4.262723216
27;4.217849966
28;4.174608837
29;4.132885258
30;4.092576313
31;4.053589214
32;4.015840012
33;3.979252509
34;3.943757336
35;3.909291155
36;3.875795982
37;3.843218602
38;3.811510056
39;3.780625203
40;3.750522329
41;3.721162813
42;3.692510824
43;3.664533062
44;3.637198525
45;3.6104783
46;3.58434538
47;3.558774502
48;3.533741998
49;3.509225666
50;3.485204647
51;3.461659323
52;3.438571219
53;3.415922915
54;3.393697969
55;3.371880843
56;3.35045684
57;3.329412043
58;3.30873326
59;3.288407979
60;3.268424316
61;3.248770975
62;3.229437216
63;3.21041281
64;3.191688014
65;3.173253536
66;3.155100512
67;3.137220476
68;3.119605339
69;3.102247366
70;3.085139157
71;3.068273626
72;3.051643984
73;3.035243724
74;3.019066604
75;3.003106633
76;2.987358058
77;2.971815353
78;2.956473205
79;2.941326503
80;2.926370331
81;2.911599955
82;2.897010815
83;2.882598517
84;2.868358826
85;2.854287656
86;2.840381065
87;2.826635247
88;2.813046528
89;2.799611356
90;2.786326302
91;2.773188047
92;2.760193382
93;2.747339203
94;2.734622504
95;2.722040376
96;2.70959
97;2.697268647
98;2.685073668
99;2.673002498
100;2.661052649
101;2.649221705
102;2.637507325
103;2.625907233
104;2.614419221
105;2.603041144
106;2.591770917
107;2.580606516
108;2.569545971
109;2.558587368
110;2.547728845
111;2.536968591
112;2.526304842
113;2.515735884
114;2.505260045
115;2.494875699
116;2.484581263
117;2.474375192
118;2.464255982
119;2.454222167
120;2.444272318
121;2.434405041
122;2.424618978
123;2.414912801
124;2.405285218
125;2.395734966
126;2.386260813
127;2.376861554
128;2.367536016
129;2.358283051
130;2.349101538
131;2.339990383
132;2.330948514
133;2.321974887
134;2.313068478
135;2.304228288
136;2.295453341
137;2.286742679
138;2.278095368
139;2.269510494
140;2.26098716
141;2.25252449
142;2.244121629
143;2.235777735
144;2.227491987
145;2.21926358
