"1",26,118529.59142679,490047.655425087,7,2023-03-21 11:57:57
"2",15,112619.591290416,485885.042326617,7,2023-03-21 11:57:57
"3",31,109622.816622034,478462.102183044,7,2023-03-21 11:57:57
"4",86,140161.252813483,472433.686260166,7,2023-03-21 11:57:57
"5",23,131023.351305015,497889.435572706,7,2023-03-21 11:57:57
"6",44,120825.914154694,491363.774128213,7,2023-03-21 11:57:57
"7",35,115906.569496813,472903.659882319,7,2023-03-21 11:57:57
"1",22,103386.535084934,483068.158077885,2,2023-03-21 11:59:10
"2",28,120117.613979248,490050.926103475,2,2023-03-21 11:59:10
"1",10,140715.026735513,484863.962962694,3,2023-03-21 12:00:41
"2",136,100415.222337583,479517.367183061,3,2023-03-21 12:00:41
"3",26,118529.585413207,490042.556340023,3,2023-03-21 12:00:41
"1",11,139818.144879613,484098.989287015,4,2023-03-21 12:02:30
"2",28,120117.553333944,490049.564001448,4,2023-03-21 12:02:30
"3",94,115908.708393253,495423.889640204,4,2023-03-21 12:02:30
"4",22,103386.480199465,483071.219595488,4,2023-03-21 12:02:30
"1",22,103386.505748774,483073.607835063,11,2023-03-21 12:53:07
"2",108,116173.764026077,495609.170877825,11,2023-03-21 12:53:07
"3",106,127505.284347232,482720.236616411,11,2023-03-21 12:53:07
"4",36,100729.176779173,497592.160131744,11,2023-03-21 12:53:07
"5",55,123536.599571848,488606.46291254,11,2023-03-21 12:53:07
"6",60,118032.745949173,483972.764626237,11,2023-03-21 12:53:07
"7",46,115157.325010171,474999.997012402,11,2023-03-21 12:53:07
"8",129,98461.0128070915,478074.958101307,11,2023-03-21 12:53:07
"9",26,118529.545874218,490042.447285415,11,2023-03-21 12:53:07
"10",92,131488.525252656,503159.753542308,11,2023-03-21 12:53:07
"11",11,139818.19564936,484095.191741584,11,2023-03-21 12:53:07
"1",108,116173.755916072,495608.152399267,17,2023-03-21 13:41:00
"2",138,106723.772811877,470970.534525418,17,2023-03-21 13:41:00
"3",76,125477.415408032,496827.872731335,17,2023-03-21 13:41:00
"4",26,118529.524602336,490042.618622668,17,2023-03-21 13:41:00
"5",131,98621.153838187,478718.957925208,17,2023-03-21 13:41:00
"6",22,103386.475658352,483069.635292018,17,2023-03-21 13:41:00
"7",61,116364.708622822,474669.498910986,17,2023-03-21 13:41:00
"8",109,126475.197112215,482666.158880923,17,2023-03-21 13:41:00
"9",11,139818.180264516,484094.334808363,17,2023-03-21 13:41:00
"10",24,114331.581307449,489614.799612137,17,2023-03-21 13:41:00
"11",60,118032.742643632,483972.224197992,17,2023-03-21 13:41:00
"12",92,131488.560839431,503161.175845039,17,2023-03-21 13:41:00
"13",74,107022.823376835,478444.536263135,17,2023-03-21 13:41:00
"14",15,112619.650141116,485884.54640582,17,2023-03-21 13:41:00
"15",36,100729.18101083,497591.191488856,17,2023-03-21 13:41:00
"16",55,123536.590003136,488605.712159823,17,2023-03-21 13:41:00
"17",79,140924.559670482,471235.791588602,17,2023-03-21 13:41:00
