,nHubs,resEnergy,type,storageCost,transCost,co2Reduction,transEmissions,costEffectiveness,totalCosts,totCo2Reduction
0,2,78.6468969987053,ssaa,17522700.243935555,26367030.87037016,527812.5786916793,706.1995584182694,83.2654144434281,43889731.11430572,527106.379133261
1,3,70.6193590449322,ssaa,17357903.217985805,20522805.814661987,527812.5786916793,549.6711987232078,71.84406203114877,37880709.03264779,527262.907492956
2,4,62.1858972950682,ssaa,17940820.353799272,14856933.457167523,527812.5786916793,397.9197804551284,62.18589729506818,32797753.810966797,527414.6589112241
5,7,54.5810768103682,ssaa,17715894.322133727,11076492.201071952,527812.5786916793,296.66647837742477,54.5810768103682,28792386.52320568,527515.9122133019
6,8,53.6828551083382,ssaa,17494802.939140625,10931991.905482262,527812.5786916793,292.7962685618859,53.88763756696822,28426794.844622888,527519.7824231174
11,13,50.2510915336207,ssaa,16914763.13167724,7875053.041106102,493529.8801819407,210.92100674306027,50.25109153362068,24789816.17278334,493318.95917519764
14,16,47.1333741472315,ssaa,16654994.153792584,6889185.0145166665,499706.97954803833,184.5160222184274,47.13337414723146,23544179.16830925,499522.4635258199
17,19,46.3738626007389,ssaa,16877000.79441952,6270443.13003288,499316.44330132316,167.9439894804561,46.37386260073888,23147443.9244524,499148.4993118427
18,20,46.2230128126202,ssaa,16663430.97578995,6149809.78372019,493529.88018194074,164.71302039943726,46.24007181285349,22813240.759510137,493365.1671615413
20,22,45.8965968361619,ssaa,16615340.055008234,6023230.347656835,493412.935363254,161.32275505779947,45.896596836161855,22638570.40266507,493251.6126081962
21,23,45.4733772350299,ssaa,16886181.295451764,5830082.042976427,499706.9795480383,156.14959716856634,45.473377235029936,22716263.33842819,499550.8299508697
22,24,45.6081879114285,ssaa,16883874.761340003,5889161.847346003,499476.7720682713,157.73196715107878,45.60818791142853,22773036.608686008,499319.0401011202
27,29,45.2303532926433,ssaa,17306375.22129118,5271497.893862869,499316.4433013232,141.18881958731208,45.230353292643315,22577873.11515405,499175.25448173593
28,30,45.3955010319861,ssaa,17006678.010921415,5670875.775858516,499706.9795480384,151.8855134749128,45.395501031986086,22677553.786779933,499555.09403456346
36,38,46.053201107055,ssaa,17821803.195413288,4984176.121753899,495342.92002155725,133.49333800148773,46.05320110705497,22805979.317167185,495209.42668355576
37,39,45.9733968487214,ssaa,17786551.739764247,4979913.004626416,495342.92002155737,133.37917981223353,45.97339684872141,22766464.744390663,495209.54084174515
38,40,46.3215806127263,ssaa,18044846.318698786,4894148.752103127,495342.92002155737,131.0820969315772,46.32158061272632,22938995.070801914,495211.8379246258
39,41,46.3673205183788,ssaa,18159942.722810876,4802312.770347382,495197.5876094285,128.62241015549935,46.38193283619705,22962255.49315826,495068.965199273
41,43,46.8885138952351,ssaa,18427742.053774178,4750535.646162631,494454.64706668584,127.23563016703474,46.88851389523509,23178277.699936807,494327.4114365188
42,44,47.0267456440343,ssaa,18528878.778738674,4756422.0912139015,495197.5876094285,127.39329362150507,47.03434207371975,23285300.869952574,495070.194315807
43,45,47.195463364204,ssaa,18616019.930531234,4755906.969413795,495342.9200215573,127.37950264079547,47.195463364204045,23371926.899945028,495215.5405189165
44,46,47.6415519017083,ssaa,18932784.00236334,4660175.02793673,495342.9200215573,124.81547752650087,47.64155190170834,23592959.03030007,495218.1045440308
45,47,47.7424330724579,ssaa,17571702.481774915,4394083.879700466,460207.06718400953,117.68866117115161,47.74243307245794,21965786.361475382,460089.3785228384
47,49,48.5012639097245,ssaa,17946689.48571277,4353392.605437553,459900.12387765344,116.59879967778014,48.50126390972448,22300082.09115032,459783.52507797565
48,50,48.6265225361086,ssaa,19169356.48499793,4594071.27546841,488815.76904594834,123.04497092723466,48.626522536108645,23763427.760466337,488692.7240750211
49,51,48.9641803245322,ssaa,19653427.550854597,4587102.236688379,495189.4483683792,122.85832484243595,48.964180324532165,24240529.787542976,495066.5900435368
50,52,49.3433053375201,ssaa,19910935.971110772,4487275.911449145,494454.64706668595,120.18463143870763,49.355676645254796,24398211.882559918,494334.46243524726
51,53,49.6296670753113,ssaa,18579012.85691685,4211228.195091873,459318.794229138,112.79114583483121,49.629667075311325,22790241.052008722,459206.00308330316
52,54,49.871344315172,ssaa,20144382.120624006,4508739.281778107,494454.6470666859,120.75949358953147,49.871396685821374,24653121.402402114,494333.8875730964
54,56,50.5164161566071,ssaa,20518960.190488555,4490160.859480953,495189.44836837926,120.26189960543144,50.51641615660712,25009121.04996951,495069.1864687738
58,60,51.9470654088061,ssaa,21265877.668506406,4413853.079522528,494454.6470666859,118.21810857589999,51.94788254256906,25679730.748028934,494336.42895811
59,61,52.3094126398747,ssaa,21201299.735100664,4401705.238069446,489571.00797625177,117.89273226037623,52.309412639874736,25603004.97317011,489453.1152439914
60,62,52.673782716749,ssaa,21710444.712543223,4366895.945952453,495189.44836837926,116.96043400318584,52.673782716749024,26077340.658495676,495072.48793437605
61,63,52.9507095541627,ssaa,21859323.66268621,4355318.467879235,495189.4483683792,116.65035136719273,52.951085649558635,26214642.130565446,495072.798017012
63,65,53.6800656645886,ssaa,22236440.022892114,4339123.567688415,495189.44836837926,116.216591173097,53.680065664588625,26575563.59058053,495073.2317772062
64,66,54.0277724298927,ssaa,22405268.344403084,4342430.772256548,495189.44836837926,116.30517396233205,54.027772429892686,26747699.116659634,495073.14319441695
65,67,54.408241724004,ssaa,22580504.125840947,4315614.950390889,494454.64706668584,115.58695392843211,54.40824172400397,26896119.076231837,494339.06011275743
66,68,54.8402742145075,ssaa,22847632.69276108,4303811.390631549,495189.44836837926,115.27082062558148,54.843183738407895,27151444.083392628,495074.1775477537
67,69,55.1326510063482,ssaa,22982588.76621981,4312150.772940103,495189.4483683792,115.49416985775784,55.13265100634823,27294739.539159913,495073.95419852145
69,71,55.881584182879,ssaa,23375201.28129718,4290348.198930212,495189.4483683792,114.9102219895638,55.88158418287895,27665549.480227392,495074.53814638965
71,73,56.7097366111643,ssaa,23817703.481905404,4257892.47552236,495189.4483683792,114.04094882476703,56.70973661116425,28075595.957427762,495075.4074195544
73,75,57.3672661167594,ssaa,24137294.784726772,4221729.882597064,494454.64706668584,113.07238531974127,57.36726611675943,28359024.667323835,494341.5746813661
75,77,58.1247538696693,ssaa,24494772.06840151,4239403.312963566,494454.64706668584,113.5457439818073,58.12621144485316,28734175.381365076,494341.10132270405
76,78,58.5413575412658,ssaa,24758607.780423753,4223832.059793347,495189.4483683792,113.12869493526041,58.541357541265825,28982439.8402171,495076.31967344397
77,79,58.9135525698132,ssaa,24949286.296197604,4174207.037725825,494454.64706668584,111.79956293431502,58.91355256981323,29123493.33392343,494342.8475037515
78,80,59.9644001572059,ssaa,23632456.01513381,3938853.041399966,459900.1238776535,105.49599425323049,59.96440015720586,27571309.056533776,459794.62788340024
79,81,59.6703604739509,ssaa,25339791.90486775,4157850.144631542,494454.6470666859,111.36146886359023,59.67036047395085,29497642.049499292,494343.2855978223
80,82,60.0203633057203,ssaa,25499085.359403856,4171556.206797571,494454.64706668584,111.72856299830424,60.02036330572034,29670641.566201426,494342.91850368754
81,83,60.4085998404757,ssaa,25693419.16179962,4169148.281924377,494454.64706668584,111.6640711565641,60.40859984047568,29862567.443724,494342.98299552925
82,84,60.8262278083296,ssaa,25918571.657847963,4150477.65801975,494454.64706668584,111.1640116663684,60.826227808329556,30069049.315867715,494343.48305501946
85,87,61.9493735488081,ssaa,26458558.66146763,4165685.1993386163,494454.64706668584,111.57131825522357,61.949373548808055,30624243.860806245,494343.0757484306
86,88,62.3438751015419,ssaa,26687278.67034344,4132040.480650396,494454.64706668584,110.67019971655472,62.34387510154187,30819319.150993835,494343.97686696926
87,89,62.7301312234947,ssaa,26873374.094663966,4136880.312189987,494454.6470666858,110.79982729897547,62.730131223494695,31010254.40685395,494343.8472393868
88,90,63.121781668594,ssaa,27066561.44180918,4137302.2395084635,494454.64706668584,110.8111283062278,63.12178166859399,31203863.681317646,494343.83593837963
89,91,63.5109960433167,ssaa,27273864.654656574,4122430.051840966,494454.64706668584,110.41280079336731,63.51099604331674,31396294.70649754,494344.2342658925
92,94,65.7476866559673,ssaa,26388570.010507103,3842033.6033786847,459900.12387765344,102.90284277385871,65.74768665596727,30230603.613885786,459797.22103487956
94,96,66.5977963309725,ssaa,26776443.183060132,3845033.1466001347,459900.12387765344,102.9831812850272,66.59779633097253,30621476.329660267,459797.1406963684
95,97,67.1707429896219,ssaa,27041692.422736146,3843226.392974942,459900.12387765344,102.93478771141852,67.17074298962193,30884918.81571109,459797.189089942
98,100,68.3118507036795,ssaa,27554512.249351867,3838099.97291888,459642.79013018176,102.7974856958728,68.31312339458782,31392612.222270746,459539.9926444859
99,101,68.7629949342024,ssaa,27861647.37632442,3955576.862769869,462812.62678771344,105.94390763360235,68.76326929416835,31817224.239094287,462706.68288007984
100,102,69.2653242100206,ssaa,28030402.202812154,3813686.284154027,459842.84142427816,102.1436053932848,69.26532421002062,31844088.48696618,459740.69781888486
103,105,70.4839465528534,ssaa,28567299.925569844,3822921.009592937,459642.7901301817,102.39094333276154,70.4839465528534,32390220.93516278,459540.39918684895
104,106,71.0099360982884,ssaa,28833490.597104527,3812668.9116342613,459842.84142427816,102.11635797743467,71.0099360982884,32646159.50873879,459740.7250663007
105,107,71.3538777532325,ssaa,28955198.57906289,3830688.717312584,459585.5076768064,102.5989866731178,71.35387775323252,32785887.296375476,459482.9086901333
106,108,71.8044481215531,ssaa,29269551.720886797,3954847.687721712,462812.6267877135,105.92437890053729,71.80444812155308,33224399.408608507,462706.70240881294
107,109,72.2494140941339,ssaa,29493598.248815615,3936724.966797969,462812.6267877135,105.43898883189958,72.24941409413391,33430323.215613585,462707.1877988816
109,111,73.0984066325962,ssaa,29877223.587914385,3945916.5819437294,462812.62678771344,105.68517326176674,73.09840663259615,33823140.16985811,462706.94161445164
110,112,73.5363833806315,ssaa,30081562.675158396,3944235.686887185,462812.6267877135,105.64015329178143,73.53638338063152,34025798.36204558,462706.9866344217
111,113,74.0035724212226,ssaa,30175977.952866588,3827405.2646804038,459585.5076768065,102.51104520653298,74.00357242122261,34003383.21754699,459482.99663159996
112,114,74.444478646209,ssaa,30367860.94169336,3794899.2201159955,459004.17802829115,101.64041814902242,74.444478646209,34162760.161809355,458902.53761014214
114,116,75.4329782403079,ssaa,30851792.837970216,3764653.402942075,459004.17802829115,100.83033553308705,75.43297824030793,34616446.24091229,458903.3476927581
115,117,76.0383335132777,ssaa,30703506.20900899,3766622.4359135106,453426.5551546493,100.8830592270995,76.03833351327775,34470128.6449225,453325.6720954222
116,118,76.2638764142709,ssaa,31205730.20311851,3791962.2106355433,459004.1780282911,101.5617536598104,76.26387641427088,34997692.41375405,458902.6162746313
117,119,76.7248284409818,ssaa,31396139.443995964,3779865.2530581476,458570.88065726875,101.23775526885025,76.72482844098175,35176004.69705411,458469.6429019999
118,120,77.4479295164772,ssaa,31795155.074628815,3745997.750443431,459004.17802829115,100.33066965015851,77.44792951647722,35541152.825072244,458903.847358641
121,123,79.1369090228621,ssaa,32001964.515056726,3746617.143922365,451831.1780345529,100.34724545092985,79.13690902286213,35748581.65897909,451730.83078910195
122,124,79.504027555937,ssaa,32266095.247367192,3741209.407507053,452993.25778362696,100.20240986027989,79.50509337167443,36007304.65487424,452893.0553737667
123,125,79.9511948161976,ssaa,32496790.166368194,3747180.590830157,453426.5551546493,100.36233763414626,79.95119481619763,36243970.75719835,453326.19281701517
124,126,80.422352980713,ssaa,32707120.046974245,3735343.5507381004,453238.5353762921,100.0453043588119,80.42235298071303,36442463.597712345,453138.49007193325
125,127,81.2116333610259,ssaa,32964872.60002548,3700630.915165816,451580.0426020797,99.11557534487389,81.21163336102595,36665503.515191294,451480.9270267348
127,129,81.9991714380985,ssaa,33666871.52588956,3753319.038303705,456448.92523770203,100.5267366035122,81.99917143809849,37420190.56419326,456348.3985010985
128,130,82.5987722523184,ssaa,33500372.50978972,3740473.0043566134,450958.7254527003,100.18268276968843,82.59984447749508,37240845.514146335,450858.5427699306
129,131,83.1116307273975,ssaa,33708099.84076463,3720493.508732156,450440.8696270095,99.64756314546003,83.1116307273975,37428593.34949678,450341.22206386406
130,132,83.6728360979583,ssaa,34014942.848884195,3703834.480952929,450888.00081538246,99.20138137473027,83.6728360979583,37718777.32983712,450788.7994340077
131,133,84.4369088947168,ssaa,34339684.600101635,3722318.3022298696,450874.1669980318,99.69644285687758,84.4369088947168,38062002.9023315,450774.4705551749
132,134,84.75085032882,ssaa,34513265.10826519,3690327.1952988817,450874.16699803184,98.83960792150022,84.75085032882,38203592.30356407,450775.32739011035
133,135,85.4488367584452,ssaa,34913084.00956343,3639631.2371847434,451062.18677638896,97.48180034436389,85.48942926430597,38552715.24674817,450964.7049760446
